title,Cl/Cd_Re50K_N9,Cl/Cd_Re50K_N5,Cl/Cd_Re100K_N9,Cl/Cd_Re100K_N5,Cl/Cd_Re200K_N9,Cl/Cd_Re200K_N5,Cl/Cd_Re500K_N9,Cl/Cd_Re500K_N5,Cl/Cd_Re1000K_N9,Cl/Cd_Re1000K_N5,max_thickness,max_camber
NASA/LANGLEY LS(1)-0417 (GA(W)-1) AIRFOIL (ls417-il),29.7,25,42.9,41,61,61.7,92.9,82.1,112.6,91.3,17%,2.4%
NASA/LANGLEY LS(1)-0413MOD AIRFOIL (ls413mod-il),34.9,35.8,53.3,49.2,66,62,86.7,77.6,99.8,92.5,13%,2.2%
NASA/LANGLEY LS(1)-0413 (GA(W)-2) AIRFOIL (ls413-il),35.9,33.8,53,48.8,69.5,65.7,96.2,82.5,112.4,86.4,12.9%,2.4%
NASA/LANGLEY LS(1)-0013 AIRFOIL (ls013-il),26.4,25.9,36.6,30.9,39.8,39.9,52.7,57.2,69.2,71.7,12.9%,0%
NASA LRN 1015 (NASA TM 102840) (lrn1015-il),21.9,20.2,39.8,34,70.8,72.6,127.7,112.9,154.8,134.4,15.2%,4.9%
LNV109A (lnv109a-il),5.5,9.8,7,23.3,25.5,58.3,111.2,113.7,151.5,149.6,13%,6%
LOCKHEED-GEORGIA SUPERCRITICAL AIRFOIL (lg10sc-il),25.9,27.8,35.1,39.1,48.2,53.3,73.5,74.6,92.8,90.8,10%,1.5%
LDS-2 AIRFOIL (lds2-il),34,33.3,52.7,50.3,72.7,66.3,97.7,77.6,106.5,85.5,12%,2.2%
LIEBECK LA5055 AIRFOIL (la5055-il),4.9,8.7,18.7,15.5,24.7,46.1,116.3,104.2,149.6,83.5,15.9%,5.9%
LA2573A (la2573a-il),6.9,13.4,15.7,27.9,62.3,64.9,102.6,95.3,125.8,110.9,13.7%,3.2%
DOUGLAS LA203A AIRFOIL (la203a-il),6,13.7,30.6,46.5,82.4,85.4,127.7,124,160.5,151.5,15.7%,5.5%
LISSAMAN 7769 AIRFOIL (l7769-il),6.6,15.4,32.3,39.8,72.6,74.3,113.7,111,143.8,136.2,11%,4.4%
LOCKHEED L-188 TIP AIRFOIL (l188tip-il),35.1,33.4,55.4,53.2,79.3,72.9,109,91.9,127,93.6,12%,2.7%
LOCKHEED L-188 ROOT AIRFOIL (l188root-il),32.4,29.9,51.1,48.7,72.5,65.4,94.9,75.8,104,79.9,14%,2%
LIEBECK L1003 AIRFOIL (l1003-il),4.1,5.2,4.5,7,10.2,10.1,74.1,68.3,104.1,68.8,17.7%,6.5%
KENNEDY AND MARSDEN AIRFOIL (kenmar-il),3,3.5,3,4.7,5.1,17.1,28.3,59,70.1,97.9,27.9%,7.7%
KC-135 Winglet (supercritical Whitcomb) (kc135winglet-il),40.8,40.9,62.3,59.2,85.6,73.2,103.4,88.7,116.5,89.1,8%,2.7%
KC-135 BL200.76 AIRFOIL (kc135c-il),34.1,34.2,52,50.2,71.4,66,91.7,73.1,100.6,78.8,10.6%,1.5%
KC-135 BL351.6 AIRFOIL (kc135d-il),36.2,36.6,54.7,52.7,74.7,68.8,100.7,84,114.9,86.1,9%,1.9%
KC-135 BL124.32 AIRFOIL (kc135b-il),31.1,31.8,50.3,49.3,70.7,62.8,89.2,71.2,98.2,79.8,13%,1.4%
KC-135 BL52.44 AIRFOIL (kc135a-il),24.9,27.7,47.3,47.5,68.9,62.1,88.7,73.2,97.8,82.5,15.5%,1.3%
K3311 (smoothed) (k3311sm-il),33.9,36.4,55.4,57,77.6,76.4,108.3,101.1,130.9,118.7,11%,3.2%
K3311  (original) (k3311-il),34.7,36.5,55.9,56.9,77.4,76.2,107.3,100.2,129.5,116.4,11%,3.3%
GRUMMAN K-3 AIRFOIL (k3-il),24.9,23,30.1,33.3,49.2,50.1,79.4,65.9,94.2,70.2,17.3%,2.6%
GRUMMAN K-2 AIRFOIL (k2-il),21.7,21.1,28.9,25.8,29,35.1,44,52.3,60.4,66.7,10.3%,1.3%
Joukovsky f=0% t=21% (joukowsk0021-jf),2.5,17.2,29.9,32.4,46.2,45.6,66.4,64.1,84.3,78.9,21%,0%
NYU/GRUMMAN K-1 AIRFOIL (k1-il),30.6,29.1,39.8,38.8,53.8,49.6,73.9,63.5,80.7,76.1,11.6%,1.9%
Joukovsky f=0% t=18% (joukowsk0018-jf),14.9,23,34.1,36.6,49.2,49.8,70.6,67.2,86.4,81,18%,0%
Joukovsky f=0% t=15% (joukowsk0015-jf),17.8,25.6,35,38,49.7,50.8,70.3,68.4,85.8,82,15%,0%
Joukovsky f=0% t=9% (joukowsk0009-jf),23.7,25.7,33.9,34.3,44.2,44.1,58.2,60.3,72.4,74.3,9%,0%
12% JOUKOWSKI AIRFOIL (joukowsk-il),22.2,26.4,34.8,37.2,47.8,48.7,65.9,65.6,80.4,79.4,11.8%,0%
J5012   12% (j5012-il),29,28.2,41.4,38.1,51.4,45.7,59.9,58.9,70.7,70.4,12%,0%
JN-153 AIRFOIL (jn153-il),4.6,6.5,5.6,18.1,16.6,44.6,98.8,112.6,163.3,165.9,17.6%,8.4%
I.S.A. 962 (isa962-il),36.2,39.4,57.5,56.1,77.1,69.8,98.7,88.3,111.8,102.5,9.6%,4.6%
I.S.A. 960 (isa960-il),39.3,38,55.9,49.8,64.7,53.7,68.2,72.1,90.5,91.6,9.5%,4.5%
I.S.A. 961 (isa961-il),34.9,39.5,55.5,53.9,70.4,63,80,75.5,90.6,88.9,9.3%,4.6%
I.S.A. 571 (isa571-il),35.4,39.4,51.6,54.3,69.6,70.6,93.6,89.1,109.4,100.5,7.4%,3.6%
HT23 (ht23-il),24.4,29,37.2,39.8,50.9,50.5,67.7,65.8,79.8,79.9,6.5%,1.1%
HT22 (ht22-il),25.3,27.2,35,36.2,46,46.5,60.7,63.2,75.5,78.4,5.1%,1.1%
HT12 (ht12-il),21.2,20.3,26.8,26.8,32.3,35.1,45.2,50.2,58.3,64.7,5%,0%
HT08 (ht08-il),21.6,20.1,28.8,26.1,33.1,34.2,44.1,48.9,56.7,63.5,5%,0%
HT05 (ht05-il),19.2,19.6,24.8,26.2,31.1,34.6,44.4,49.3,57.7,63.5,4.8%,0%
HSNLF(1)-0213 AIRFOIL (hsnlf213-il),28.3,27.1,46,37.4,53.8,49.9,70.4,59.8,78.4,67.4,13.3%,1.4%
HAM-STD HS1-712 AIRFOIL (hs1712-il),36.4,38.3,60.7,58.4,82.8,74.7,103.4,83.5,103.7,89.7,12%,4.9%
HAM-STD HS1-708 AIRFOIL (hs1708-il),42.8,43,67.8,66.5,97.3,92.8,139.5,120.8,169,117,7.9%,5%
HAM-STD HS1-620 AIRFOIL (hs1620-il),16,25.2,43.6,38.2,59.4,51.2,72.2,57.3,76.3,70.7,20%,4.1%
HAM-STD HS1-606 AIRFOIL (hs1606-il),45.5,45,68.5,66.3,95.4,90.7,133.2,121.9,160.5,108.4,6%,4.4%
HAM-STD HS1-430 AIRFOIL (hs1430-il),16.4,14.2,28.7,21.2,31,22.4,27.4,23.6,29.2,29.1,30%,3%
HQ 3.5/9 AIRFOIL (hq359-il),39.3,42,63.2,62.2,88.6,82.2,121.1,101.1,140.6,105.8,9%,3.5%
HQ 3.5/8 AIRFOIL (hq358-il),40.9,43.3,64.7,63.5,90.2,84.2,123.6,106,144.9,109.6,8%,3.5%
HQ 3.5/18 AIRFOIL (hq3518-il),6.9,21.4,47.8,43.4,68.1,61.8,90.6,78.7,105.4,89.7,18%,3.5%
HQ 3.5/14 AIRFOIL (hq3514-il),29.4,33.1,55.8,54.4,80,71.4,100.5,86.3,112.8,99.5,14%,3.5%
HQ 3.5/13 AIRFOIL (hq3513-il),30.2,35.3,56.9,56,81.6,75.3,105.6,88.7,119.4,101.5,13%,3.5%
HQ 3.5/12 AIRFOIL (hq3512-il),33.5,37.3,58.6,57.8,83.5,77.7,112.1,90.6,122,102.9,12%,3.5%
HQ 3.5/10 AIRFOIL (hq3510-il),37.4,40.5,61.7,60.9,87,80.8,119,95.6,129.3,106.9,10%,3.5%
HQ 3.0/9 AIRFOIL (hq309-il),39.2,41.1,61.3,59.9,84.8,78.4,114.8,96.3,132.7,101.2,9%,3%
HQ 3.0/8 AIRFOIL (hq308-il),40.6,42.2,62.5,60.9,86.1,79.6,116.5,99.5,135.4,99.9,8%,3%
HQ 3.0/15 AIRFOIL (hq3015-il),25.8,30.5,52.8,51.5,75.7,67.7,97.1,84,111.8,95.5,15%,3%
HQ 3.0/14 AIRFOIL (hq3014-il),30.1,33,54.2,53.4,77.5,70.9,99.8,85.4,113.7,96.9,14%,3%
HQ 3.0/13 AIRFOIL (hq3013-il),32.5,35.2,55.9,55.1,79.3,73.8,106,86.8,115.3,97.9,13%,3%
HQ 3.0/12 AIRFOIL (hq3012-il),34.4,36.8,57.4,56.5,80.8,75.1,109.4,88.3,117.1,98.4,12%,3%
HQ 3.0/11 AIRFOIL (hq3011-il),36.1,38.3,58.5,57.4,81.8,75.8,111.3,92.6,124.7,101.2,11%,3%
HQ 3.0/10 AIRFOIL (hq3010-il),37.7,39.8,60,58.9,83.5,77.3,113.6,92.8,126,99.8,10%,3%
HORSTMANN AND QUAST HQ-300 GD(MOD 2) AIRFOIL (hq300gd2-il),5.4,15.1,42.8,44.6,74.7,73.5,107.6,107.8,139.8,131.6,16.6%,3.9%
HQ 2.5/9 B AIRFOIL (hq259b-il),39,39.5,58.4,56.2,79.6,73.6,105.7,84.6,112.3,91.3,9%,2.5%
HQ 2.5/9.0 smoothed by Eppler (hq2590sm-il),39,39.5,58.4,56.2,79.6,73.6,105.7,84.6,112.2,91.2,9%,2.5%
HQ 2.5/9 AIRFOIL (hq259-il),38.2,39.6,58.6,56.8,80,73,106.8,88.4,122,92.4,9%,2.5%
HQ 2.5/8 AIRFOIL (hq258-il),39.2,40.5,59.5,57.6,80.9,74,108.1,90.5,124.1,96.8,8%,2.5%
HQ 2.5/12 AIRFOIL (hq2512-il),33.9,36.1,55.2,53.9,76.9,70.6,100.5,83.7,108.2,92.9,12%,2.5%
HQ 2.5/11 AIRFOIL (hq2511-il),35.9,37.4,56.7,54.7,78.1,70.5,102.6,84.4,107.5,92.2,11%,2.5%
HQ 2.5/10 AIRFOIL (hq2510-il),37,38.6,57.5,55.9,79.1,72.1,105.6,85.3,113.7,92.5,10%,2.5%
HQ 2.1/9.5 AIRFOIL (hq2195-il),37.3,37.6,55.4,52.6,74.5,67.5,96.2,79,101,87,9.5%,2.1%
HQ-2.0/9  9.0%   smoothed (hq2090sm-il),36.9,37.9,55.1,53.5,73.9,68.3,97.2,79.3,104.7,87.2,9%,2%
HQ 2.0/9 AIRFOIL (hq209-il),36.9,37.9,55.2,53.3,74.2,68.1,97.9,79.6,105.7,85.2,9%,2%
HQ 2.0/8 AIRFOIL (hq208-il),37.8,38.5,55.9,53.8,74.6,68.6,98.4,83.4,112.8,84.5,8%,2%
HQ 2.0/12 AIRFOIL (hq2012-il),33.2,34.9,52.4,51.2,72.3,65.8,90.7,79.5,100.8,88.6,12%,2%
HQ 2.0/10 AIRFOIL (hq2010-il),35.8,37,54.3,52.7,73.7,67.5,97.3,78.9,102.2,86.8,10%,2%
HORSTMANN AND QUAST HQ-17/14.38 AIRFOIL (MEASURED) (hq17-il),22.5,18.3,34.2,32.5,68.9,66.5,113.5,103.3,139.5,122.5,15.2%,4.5%
HQ 1.5/9 B AIRFOIL (hq159b-il),35.2,35.7,51.3,49.1,67.3,60.6,84.8,68,86.1,80.2,9%,1.5%
HQ 1.5/9 AIRFOIL (hq159-il),35.1,35.7,51.9,49.3,68.6,61.7,88.4,72.1,92.9,79.2,9%,1.5%
HQ 1.5/8.5 AIRFOIL (hq1585-il),35.6,35.6,51.4,48.4,67.2,58.3,84.7,67.3,85.3,80.4,8.6%,1.5%
HQ 1.5/8 AIRFOIL (hq158-il),35.7,35.9,51.9,49,68.3,60.7,86.8,70,92,77.5,8%,1.5%
HQ 1.5/12 AIRFOIL (hq1512-il),32.3,33.6,49.9,48.4,67.7,60.3,82.1,73.2,93.9,81.9,12%,1.5%
HQ 1.5/11 AIRFOIL (hq1511-il),33.2,34.4,50.5,48.4,67.8,59.9,82.2,74,94.4,82.4,11%,1.5%
HQ 1.5/10 AIRFOIL (hq1510-il),34.3,35.1,51.3,49.2,68.4,61.9,88.4,73.3,92.1,81,10%,1.5%
HQ 1.0/9 AIRFOIL (hq109-il),32.8,33.1,48,45,62.9,55.3,79.5,66.1,82.8,75.6,9%,1%
HQ 1.0/8 AIRFOIL (hq108-il),33.4,33.3,48,44.7,62.4,54.6,78.6,63.9,85,72.2,8%,1%
HQ 1.0/12 AIRFOIL (hq1012-il),31,32,47.1,45.1,63.9,54.9,75.6,69.6,87.5,80.6,12%,1%
HQ 1.0/10 AIRFOIL (hq1010-il),32.4,32.9,47.8,45.1,63.1,55.8,79.1,68.2,85.9,78,10%,1%
HQ 0/9 AIRFOIL (hq09-il),27.3,26,36.8,33.4,46.3,38.6,51.8,53.4,64.9,63.4,8.1%,0%
HQ 0/7 AIRFOIL (hq07-il),26.2,24.7,35.1,31.4,43.1,36.7,50.2,46.1,59.1,56.2,7%,0%
HQ 0/10 AIRFOIL (hq010-il),28,27.3,39.7,36,50.1,41.4,54.6,56.9,71,70.7,10%,0%
ONERA HOR20 AIRFOIL (hor20-il),4.1,21.7,34.4,44.9,61.6,63.4,91.1,83.9,112.4,99.9,20.4%,3.3%
ONERA HOR12 AIRFOIL (hor12-il),30.7,38,54.7,57.8,76.5,76.2,103.7,97.9,121.4,108.8,11.9%,3.7%
ONERA HOR07 AIRFOIL (hor07-il),43.7,43.4,61.1,59.5,78.4,73,98,80.5,106.2,88.4,7.2%,4.5%
ONERA HOR04 AIRFOIL (hor04-il),28.1,32.3,45.2,40.3,54.8,46.2,61.2,58.7,68.4,70.9,4.1%,1.4%
HOBIESMO1.DAT (hobiesm-il),41.7,41.5,60.9,60.4,81.5,79,110,101.9,130.7,118.2,8.6%,3.8%
HOBIE (hobie-il),40.8,41.8,59.8,60.3,78.8,76.4,100.5,93,115.1,102.7,8.5%,4%
HUGHES HELICOPTERS HH-02 AIRFOIL (hh02-il),30.5,33.4,46.5,45.5,60.9,56.7,76.4,72.2,89.3,84.4,9.6%,2%
UNIVERSITY OF GLASGOW GU25-5(11)8 AIRFOIL (gu255118-il),3.9,6.7,11.2,10.7,17.4,38.3,63.3,93.3,136.3,137.4,20%,7.1%
SIKORSKY GS-1 AIRFOIL (gs1-il),9.2,29.2,51,54.1,74.6,74.4,105.4,100.1,129.4,119.8,13.9%,4.1%
Griffith 30% Suction Airfoil (griffith30symsuction-il),4.7,10.8,17.2,11,13.5,10.7,15,12.5,17.3,15.3,30.6%,0%
GOE 92 AIRFOIL (goe92-il),31.2,36.9,53.8,55,73.1,72.8,99.6,97.8,120.6,116.7,8.8%,5.5%
GOE 81 AIRFOIL (goe81-il),31.3,42.1,61.7,65.1,89.3,83.4,114.1,102.5,133.7,104.8,7.4%,6.3%
GOE 804 (EA 8) AIRFOIL (goe804-il),43.7,41.1,70.6,67.6,107.1,107,169.1,157.3,211.4,147,6%,6.3%
GOE 803 (HACKLINGER) AIRFOIL (goe803h-il),40,48.1,69.1,69.7,95.6,85.8,112.9,103.6,128.7,122.2,6.3%,6.6%
GOE 802 B AIRFOIL (goe802b-il),26.6,39.3,53.8,60.9,76.3,73.4,104.6,91,105.7,103.3,9.8%,6.1%
GOE 802 A AIRFOIL (goe802a-il),27.5,39.2,52.6,61,73.9,149.1,101.7,91,101.1,175,9.8%,6.1%
GOE 802 AIRFOIL (goe802-il),17.9,38.7,55.9,60.2,79.8,79.6,110.4,104.1,132,123,9.8%,6.1%
GOE 801 (MVA 301) AIRFOIL (goe801-il),17.9,38.7,55.9,60.2,79.8,79.6,110.4,104.1,132,123,9.8%,6.1%
GOE 798 AIRFOIL (goe798-il),3.8,10.4,20.6,31.9,65.7,61.7,98.9,83.8,120,84.6,20%,6%
GOE 797 AIRFOIL (goe797-il),7.3,20.9,48.9,50.3,76,73.3,108.2,96.7,128.7,106.6,16%,4.9%
GOE 796 AIRFOIL (goe796-il),32.2,35.5,55.5,55.6,78,73.2,105.9,90.5,122.7,105.2,12%,3.6%
GOE 795 smoothed (goe795sm-il),37.7,38,56.5,54.2,76.5,69.7,101.5,86.2,116.2,96.4,8%,2.4%
GOE 795 AIRFOIL (goe795-il),38,37.8,56.5,53.6,75.4,67.5,95.7,80.2,105,84.9,8%,2.4%
GOE 79 (PFALZ 11) AIRFOIL (goe79-il),59.2,42.7,57.6,59.4,75.7,75.6,102.2,97.4,120.1,103.5,6.2%,6%
GOE 780 AIRFOIL (goe780-il),12.4,19.5,29.3,31.8,44.3,34.3,42.8,42.1,50.9,44,12%,1%
GOE 777 AIRFOIL (goe777-il),3,8.1,15.5,32.1,54.6,57.7,90.5,81.7,109,101.8,22%,5.9%
GOE 776 AIRFOIL (goe776-il),6.6,19.2,33.3,28.8,41.2,35.1,50,48.5,66.3,61.4,25%,0%
GOE 775 AIRFOIL (goe775-il),18.9,25.1,36.9,35.8,48.4,43.4,60.3,56.6,74.6,69.8,21%,0%
GOE 770 AIRFOIL (goe770-il),2.9,11.3,19.2,36.6,53.6,59.3,87.7,86.1,112.7,109,21%,4%
GOE 769 AIRFOIL (goe769-il),16.6,28.9,39.1,45.3,59.1,61.8,85.9,85.2,107.9,106,13.8%,4.8%
GOE 767 AIRFOIL (goe767-il),15.5,23.9,30.3,38.6,49.7,54.9,76,74.7,93.1,91.5,12%,1.5%
GOE 766 AIRFOIL (goe766-il),19.2,27.4,37.6,42,55.9,57.2,80.3,77,98,87.2,12%,1.5%
Gottingen 765 airfoil (recovered). Thick: .144 LE radius: 0.02062 LE slope: 0.17300 (goe765-il),15.1,28.4,41.5,44.6,59.4,58.6,80.4,68.5,85.9,79.6,14.4%,1.9%
GOE 758 AIRFOIL (goe758-il),7.6,25.8,45.4,52.7,73.7,75.6,108.1,102.8,133.6,123.1,13.9%,4.7%
GOE 744 AIRFOIL (goe744-il),3.9,7.9,5,35.5,56.8,64.8,98.9,97.3,128.4,114.9,14.5%,7%
GOE 746 AIRFOIL (goe746-il),7.9,20.8,46.3,49.1,73.4,73.8,106.3,102.4,129.6,118.6,9.8%,5%
GOE 741 AIRFOIL (goe741-il),3.9,14.1,17.5,39,61.6,66.9,101.4,93,122.4,106.3,15.3%,4.8%
GOE 738 AIRFOIL (goe738-il),10.1,23.4,41.3,44.5,62.4,61.4,87.3,79.3,102.9,93.6,15.4%,2.1%
GOE 723 AIRFOIL (goe723-il),32,33.4,58.4,58.5,82.2,79.2,114,103.5,136.6,112,11.6%,4.5%
GOE 735 AIRFOIL (goe735-il),2.9,16.4,23.4,35.9,49.6,55.4,82.2,78.9,105,97.3,20.1%,4.4%
GOE 711 AIRFOIL (goe711-il),20.3,33.2,48.3,49.2,64.6,62.9,86.3,83.1,107.2,102.2,14.9%,6.3%
GOE 704 AIRFOIL (goe704-il),26,31.6,44.9,44.4,57.9,57.5,78.5,72.7,90.1,83,12.9%,2.1%
GOE 703 AIRFOIL (goe703-il),5.5,22.3,40,43,63.3,49.1,67,57.4,75.5,65.6,19.4%,2.3%
GOE 702 AIRFOIL (goe702-il),4.1,20.6,32,43.1,57.1,61.6,88.2,89.7,117.2,116.2,16.6%,5.1%
GOE 701 AIRFOIL (goe701-il),19.5,31.6,54.7,53.7,78.9,73.7,108.7,94.5,127.7,101.3,12.5%,4.9%
GOE 693 AIRFOIL (goe693-il),32.3,35.6,56,55.7,78.2,72.5,103.2,87.2,115.5,97.3,12%,3.6%
GOE 692 AIRFOIL (goe692-il),7.3,19,48.1,49.6,76.1,73.6,109,99.2,132.6,114.5,16.1%,5%
GOE 685 AIRFOIL (goe685-il),25.3,33.9,52.5,54.2,73.4,71.9,100.6,87.2,119.2,96.3,13.1%,4.2%
GOE 683 AIRFOIL (goe683-il),7.9,21.1,31.2,41.5,58.1,59.3,85.8,70.8,98.2,81.1,19.9%,3%
GOE 682 AIRFOIL (goe682-il),25.4,37.5,55.9,57.4,78.7,75.3,106.3,97.4,126.5,112.6,10.7%,4.3%
GOE 681 AIRFOIL (goe681-il),9.7,26.5,44.3,42.2,61.7,55.4,79.3,73.9,97.8,94,16.8%,4.4%
GOE 679 AIRFOIL (goe679-il),5.4,25.1,42.7,41.6,58.1,54.2,76.3,72.4,95.9,88.8,18.3%,4.5%
GOE 677 (= M 6) AIRFOIL (goe677-il),29.4,33,49.2,48.9,66.9,63.3,87.2,73.3,94.1,81.1,12%,2.2%
GOE 676 (= M 12) AIRFOIL (goe676-il),30.7,33.6,48.8,48.8,65.5,62.8,86.1,77.7,97.6,85.9,11.9%,2%
GOE 675 AIRFOIL (goe675-il),8.6,28.2,51.2,52.2,75.3,69.9,104.4,90.2,117.8,111.9,14.9%,5.9%
GOE 673 AIRFOIL (goe673-il),38.1,37.5,56,55.5,75,73.4,100.6,94.9,118.4,109.5,10.8%,2.8%
GOE 655 AIRFOIL (goe655-il),16.1,32.3,45.6,49,64.5,64.9,91.1,89.5,115.7,109,13.9%,4.4%
GOE 670 AIRFOIL (goe670-il),35.7,37.2,57.1,54.4,78.4,70.5,101.9,81.9,114.1,97.8,9%,3.4%
GOE 654 AIRFOIL (goe654-il),10,28.4,41,50,67.3,67.8,94.4,92.4,118.6,115.3,14.5%,5.2%
GOE 652 AIRFOIL (goe652-il),5.4,21.2,49.6,53.1,77.3,78,112.7,102.8,135.7,115.7,17.1%,9.3%
GOE 650 AIRFOIL (goe650-il),31.8,34.8,56,53.9,79,70.5,101.6,83.5,109.6,96.4,13.4%,4.4%
GOE 648 AIRFOIL (goe648-il),22.2,30.5,43.2,44.2,57.4,57.6,79.7,80.7,104.3,101.9,15.2%,3.9%
GOE 647 AIRFOIL (goe647-il),13.1,28.3,41.5,44.5,59,58.5,81.7,81.3,105.8,104.3,16.2%,5.3%
GOE 646 AIRFOIL (goe646-il),5.2,18.5,43.6,46.4,68.8,65.2,95.9,77.2,105.2,85.4,18.3%,4.5%
GOE 645 AIRFOIL (goe645-il),9.5,28.7,43.7,48.7,66.3,65.8,93.5,84.4,110.5,88.6,15.4%,4.8%
GOE 633 AIRFOIL (goe633-il),9.7,26.5,43.9,48.9,67.4,66.2,94.1,90.8,118.3,102.6,13.8%,4%
GOE 632 AIRFOIL (goe632-il),7.4,26,48.5,51.2,72.3,69.6,98.8,81.6,104.1,88.6,14%,3.9%
GOE 63 AIRFOIL (goe63-il),30.4,41.3,61,63.3,86.5,80.7,110.3,102.6,128.4,121.5,8.3%,6.7%
GOE 629 AIRFOIL (goe629-il),29.4,32.2,50.3,50.3,70,66.2,94.7,81.9,107.2,92.7,13.6%,2.8%
GOE 628 AIRFOIL (goe628-il),6.9,27.4,43.7,47.5,64.8,63.4,88.6,84.5,111.4,107.8,16.7%,5.6%
GOE 630 AIRFOIL (goe630-il),7.1,28.3,48.4,54.4,74.9,73.5,103.7,99.2,129,123.1,12.6%,7.7%
GOE 627 AIRFOIL (goe627-il),25.4,29.1,43.3,41.5,55.2,52.8,74.2,71.9,93.4,90.5,15.8%,4.1%
GOE 626 AIRFOIL (goe626-il),7.4,30.6,48.9,51.6,71.2,64.9,90.4,82.9,107.3,94.9,16.5%,5.1%
GOE 625 AIRFOIL (goe625-il),3.8,18.8,33.8,42.4,58.1,57.4,80.8,77.1,101.4,99.7,20%,6.1%
GOE 624 AIRFOIL (goe624-il),5.9,22.8,39.8,50.2,69.1,69.9,99.5,97.6,126.9,120.9,16%,5.2%
GOE 623 AIRFOIL (goe623-il),27.4,36,53.5,55,75.4,72.3,102.6,91.3,120.6,104.4,12%,3.8%
GOE 622 AIRFOIL (goe622-il),35.5,38.2,53.2,52.9,69.8,64.9,88.5,75.5,98.6,82,8%,2.4%
GOE 621 AIRFOIL (goe621-il),9.3,27.6,51.1,49.2,74.7,70.1,105.5,84.2,120.7,99.8,15%,5%
GOE 620 AIRFOIL (goe620-il),4.2,14.3,42.4,43.1,71.1,64.7,97.7,82.5,117.6,87.6,17.5%,5.9%
GOE 619 AIRFOIL (goe619-il),22,33.3,52.4,51.3,73.7,67.6,99.7,82,108.9,99.6,13.7%,4.5%
GOE 617 AIRFOIL (goe617-il),29.3,31.4,49.4,48.8,67.2,63,87.9,72.2,91,82.3,13.9%,2.2%
GOE 615 AIRFOIL (goe615-il),10.3,30.5,51,53,74.6,72.2,104.1,93.5,125.5,102.7,13.7%,5.6%
GOE 614 AIRFOIL (goe614-il),3.7,16.1,33.6,43.5,63.5,59.1,84.8,77.1,105.4,79.8,18.8%,6.2%
GOE 613 AIRFOIL (goe613-il),30.3,37,53.3,52.8,72.3,67.9,93.8,88.9,112,106,10.3%,4.1%
GOE 612 AIRFOIL (goe612-il),9.4,27.9,51.3,49.3,74.7,70.1,105.5,85.1,121.6,100,15%,5%
GOE 611 AIRFOIL (goe611-il),10,31.2,52.7,56.4,77.3,75.8,106.6,97,125.6,107.9,12.9%,5.8%
GOE 610-B MOD. AIRFOIL (goe610bm-il),40.4,43.4,62.8,63.5,83.1,82.3,110.5,107.3,130.3,125,7.7%,5.5%
GOE 610 B AIRFOIL (goe610b-il),37.4,38.8,61.2,62.7,86.5,84,118,95.1,132.2,99.4,7.8%,5.3%
GOE 601 AIRFOIL (goe601-il),25.2,28,47.7,44.1,69.9,57.4,82.8,69,91.2,82.4,16%,2.5%
GOE 598 AIRFOIL (goe598-il),31.7,30.5,43.1,40.4,54.8,48.6,66.9,54.6,72.5,60.8,6.5%,1%
GOE 604 AIRFOIL (goe604-il),3.7,20.6,29.8,42.3,59.2,61.2,87.7,85.7,113,108.8,17.8%,5.4%
GOE 602 AIRFOIL (goe602-il),37.8,39.1,57.6,57.5,77.5,74,102.2,93.2,119.1,104.9,10%,3.5%
GOE 602 MOD. AIRFOIL (goe602m-il),39.2,40.5,59.5,59.5,80,76.2,105.9,95.8,122.7,108.9,9.6%,3.8%
GOE 600 AIRFOIL (goe600-il),32.5,33.9,51.1,49.4,69.6,62.9,91.2,76.8,99.6,86,13.1%,1.9%
GOE 599 AIRFOIL (goe599-il),34.2,33.1,48.5,44.1,61.5,51.2,72.8,65.5,79.8,80.2,10%,1.5%
GOE 596 AIRFOIL (goe596-il),35.5,37,56.6,57.4,77.5,75.6,105.7,97.2,125.7,112.5,9.8%,4%
GOE 593 AIRFOIL (goe593-il),24.3,35.2,52.9,53.2,74.6,69.9,101.4,88.9,117.1,107.1,11.9%,4.1%
GOE 592 AIRFOIL (goe592-il),5.3,13.3,32.1,45.9,76.5,76.2,114.9,107,142.4,124.5,14.3%,7.5%
GOE 595 AIRFOIL (goe595-il),36.9,38.1,55.1,54.6,74.6,68.8,97.7,86.8,110.6,100.1,9.6%,3%
GOE 591 AIRFOIL (goe591-il),16,34.4,52.7,57.3,77.2,76.9,108,103.1,132.3,122.7,11.2%,5.1%
GOE 590 AIRFOIL (goe590-il),37.3,38.4,52.2,53.7,67.6,70.1,94.7,93.9,114.6,111.5,5.7%,4%
GOE 587 AIRFOIL (goe587-il),36.6,37,50.1,50.7,63.5,62.9,77.8,70.7,77.9,77.1,5.8%,3%
GOE 585 AIRFOIL (goe585-il),34.6,37.4,52.7,51,70.3,66.1,90.4,87.9,108.2,104.5,8.2%,3.4%
GOE 584 AIRFOIL (goe584-il),8.6,26,51.6,55,78.1,77.9,112.3,106,137.5,126.1,12.7%,5%
GOE 575 AIRFOIL (goe575-il),31.6,32.5,47.6,44.6,57.6,55.1,74.1,70.4,88.3,75.4,13.3%,3.6%
GOE 574 AIRFOIL (goe574-il),34.4,35.7,56,55.8,74.5,73.1,100,97.3,121.8,118.1,10.3%,4.9%
